Nombre completo,¿Qué prefieres hacer en tus ratos libres?,¿Cómo te ves a ti mismo? Como alguien...,¿En 10 años te ves trabajando con...?,Quisiera que mi espacio laboral fuera...,"Si pudiera elegir, en mi trabajo tendría que...",Quisiera un trabajo:,En mi trabajo me gustaría que mi relación con los demás fuera...,Trabajaría en un lugar en el que las actividades cotidianas estuvieran relacionadas con...,Me gustaría un trabajo que se centrara en...,"Cuando trabaje, me gustaría destacarme por...",En mi trabajo me gustaría responder por:,¿Cuál sería el tema principal de tu trabajo?,¿En cuál de estos sectores te gustaría trabajar?,¿Cuáles son las materias que te gustan MÁS?,¿Cuáles son las materias que te gustan MENOS?,¿En qué sientes que te va mejor? En temas relacionados con...,¿En qué materias te va MEJOR?,¿En qué materias NO TE VA BIEN?
Anabel Vicens Arroyo,"Hacer actividades artisticas, Ordenar mi espacio y mis actividades","Imaginativo. Me expreso creativamente, Sociable. Disfruto compartir con otros","Creaciones propias relacionadas con el arte, Equipos de trabajo, guiándolos y dirigiéndolos","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Enseñar, aconsejar o cuidar de personas, Sistematizar y procesar información o números","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Trabajar en equipo, tener en cuenta las ideas de los otros, Actuar por mi cuenta sin necesidad de que me supervisen",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, El ser humano y su relación con la sociedad","Cultural y artístico, Educación, Salud","Educación artística, Lengua castellana, Educación física","Matemáticas, Física, Biología y química","La creación y representación de objetos e imágenes, Las matemáticas: el cálculo, los símbolos y la lógica","Educación artística, Lengua castellana, Biología y química","Matemáticas, Física, Educación Física"
Flora Tejedor,"Escuchar y conversas con mis amigos, Ordenar mi espacio y mis actividades","Sociable. Disfruto compartir con otros, Curioso. Me gusta entender el porqué de las cosas","Personas, enseñando o cuidando de ellas, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento, Crear por medio del diseño, dibujo o música","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El aprendizaje de niños, jóvenes y adultos, La naturaleza, el universo y su funcionamiento, El diseño, música, baile, teatro y cocina","Educación, Desarrollo humano y social, Hotelería, restaurantes y turismo","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Física, Educación física, Educación artística","Las personas, el relacionamiento y comunicación con otros, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
Micaela de Arnal,Leer o hacer experimentos,Líder. Me divierte tomar la iniciativa,"Personas, enseñando o cuidando de ellas, Herramientas que me permitan construir y crear","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Actuar por mi cuenta sin necesidad de que me supervisen, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas","Mi trabajo, el de mi equipo y el impacto que genere","El aprendizaje de niños, jóvenes y adultos, La salud y el funcionamiento del cuerpo, El desarrollo y el funcionamiento de objetos","TIC (Tecnologías de la información y la comunicación) y telecomunicaciones, Construcción, Salud","Ciencias sociales, Lengua castellana, Física","Educación artística, Matemáticas, Educación física","Las personas, el relacionamiento y comunicación con otros, La creación y representación de objetos e imágenes","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Biología y química"
Eliseo Amorós Tomás,Hacer actividades artisticas,"Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Equipos de trabajo, guiándolos y dirigiéndolos","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Dirigir y coordinar gente para desarrollar proyectos,"El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"El ser humano y su relación con la sociedad, Los recursos naturales, el campo y los animales, La salud y el funcionamiento del cuerpo","Industrial agropecuario, Minero y energético, Comercio","Educación artística, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Biología y química","La creación y representación de objetos e imágenes, Las palabras, escritas o habladas, esa es tu forma de expresarte","Educación artística, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Biología y química"
Cristóbal de Juliá,"Leer o hacer experimentos, Practicar deporte o construir cosas","Curioso. Me gusta entender el porqué de las cosas, Líder. Me divierte tomar la iniciativa","Información y datos, para clasificar y analizar, Equipos de trabajo, guiándolos y dirigiéndolos","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Crear por medio del diseño, dibujo o música, Dirigir y coordinar gente para desarrollar proyectos","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento",Actuar por mi cuenta sin necesidad de que me supervisen,Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, Los recursos naturales, el campo y los animales, El desarrollo y el funcionamiento de objetos","Minero y energético, Cultural y artístico, Desarrollo humano y social","Física, Biología y química, Matemáticas","Educación física, Ciencias económicas y políticas, Educación artística",La creación y representación de objetos e imágenes,"Física, Biología y química, Matemáticas","Educación artística, Ciencias sociales, Ciencias económicas y políticas"
Florentino Verdú,"Practicar deporte o construir cosas, Buscar y proponer nuevos planes","Hábil. Soy bueno para el trabajo manual, Curioso. Me gusta entender el porqué de las cosas",Creaciones propias relacionadas con el arte,"Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Dirigir y coordinar gente para desarrollar proyectos,"El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Trabajar en equipo, tener en cuenta las ideas de los otros",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, El diseño, música, baile, teatro y cocina, El ser humano y su relación con la sociedad","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Ciencias sociales","Lengua castellana, Biología y química, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, La creación y representación de objetos e imágenes","Matemáticas, Física, Ciencias económicas y políticas","Ciencias sociales, Lengua castellana, Educación artística"
Sergio Rozas Gutiérrez,"Leer o hacer experimentos, Practicar deporte o construir cosas","Curioso. Me gusta entender el porqué de las cosas, Imaginativo. Me expreso creativamente","Información y datos, para clasificar y analizar, Creaciones propias relacionadas con el arte","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Dirigir y coordinar gente para desarrollar proyectos,"El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar",Entender las necesidades de los demás y ayudarlos a solucionarlas,Mis resultados,"La naturaleza, el universo y su funcionamiento, La salud y el funcionamiento del cuerpo, El ser humano y su relación con la sociedad","Investigación en ciencias básicas y aplicadas, Salud, Educación","Física, Biología y química, Matemáticas","Ciencias sociales, Ciencias económicas y políticas, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Física, Biología y química, Matemáticas","Educación artística, Ciencias económicas y políticas, Lengua castellana"
Gema Doménech Quiroga,"Ordenar mi espacio y mis actividades, Buscar y proponer nuevos planes","Curioso. Me gusta entender el porqué de las cosas, Líder. Me divierte tomar la iniciativa","Información y datos, para clasificar y analizar, Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Enseñar, aconsejar o cuidar de personas, Experimentar, investigar y producir conocimiento","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Trabajar en equipo, tener en cuenta las ideas de los otros","Mi trabajo, el de mi equipo y el impacto que genere","La naturaleza, el universo y su funcionamiento, El ser humano y su relación con la sociedad, Los recursos naturales, el campo y los animales","Investigación en ciencias básicas y aplicadas, Salud, Desarrollo humano y social","Física, Biología y química, Matemáticas","Ciencias económicas y políticas, Ciencias sociales, Lengua castellana","Las matemáticas: el cálculo, los símbolos y la lógica, La naturaleza, con la comprensión y sensibilidad del entorno natural","Física, Biología y química, Matemáticas","Educación artística, Educación Física, Ciencias económicas y políticas"
Marcio Herrero Campo,"Practicar deporte o construir cosas, Hacer actividades artisticas",Hábil. Soy bueno para el trabajo manual,"Creaciones propias relacionadas con el arte, Información y datos, para clasificar y analizar","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Usar diferentes herramientas y tecnología,"El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Trabajar en equipo, tener en cuenta las ideas de los otros, Comunicarme con los demás, escuchar sus ideas y transmitir las mias","Mi trabajo, el de mi equipo y el impacto que genere","El desarrollo y el funcionamiento de objetos, El bienestar económico de las personas y paises, Los recursos naturales, el campo y los animales","Comercio, Logística y transporte","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, La expresión corporal: actividades físicas como deportes, danza o actuación","Matemáticas, Física, Biología y química","Educación Física, Educación artística, Lengua castellana"
Salomé Lladó Vera,"Practicar deporte o construir cosas, Ordenar mi espacio y mis actividades","Hábil. Soy bueno para el trabajo manual, Líder. Me divierte tomar la iniciativa","Herramientas que me permitan construir y crear, Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Enseñar, aconsejar o cuidar de personas, Sistematizar y procesar información o números","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar",Entender las necesidades de los demás y ayudarlos a solucionarlas,Mis resultados,"La naturaleza, el universo y su funcionamiento, El desarrollo y el funcionamiento de objetos, Los recursos naturales, el campo y los animales","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Educación física","Ciencias económicas y políticas, Educación artística, Ciencias sociales","Las palabras, escritas o habladas, esa es tu forma de expresarte","Matemáticas, Física, Lengua castellana","Ciencias sociales, Educación artística, Ciencias económicas y políticas"
Abraham de Rocha,"Leer o hacer experimentos, Buscar y proponer nuevos planes","Curioso. Me gusta entender el porqué de las cosas, Hábil. Soy bueno para el trabajo manual","Información y datos, para clasificar y analizar, Creaciones propias relacionadas con el arte","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Dirigir y coordinar gente para desarrollar proyectos, Enseñar, aconsejar o cuidar de personas","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar",Actuar por mi cuenta sin necesidad de que me supervisen,"Mi trabajo, el de mi equipo y el impacto que genere","La naturaleza, el universo y su funcionamiento, El bienestar económico de las personas y paises, El ser humano y su relación con la sociedad","Minero y energético, Industrial manufacturero, Distribución y suministro de electricidad, agua y gas","Física, Biología y química, Matemáticas","Educación artística, Educación física, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, La expresión corporal: actividades físicas como deportes, danza o actuación",Física,"Matemáticas, Ciencias sociales, Biología y química"
Ramona Osuna Llorens,"Practicar deporte o construir cosas, Escuchar y conversas con mis amigos","Hábil. Soy bueno para el trabajo manual, Curioso. Me gusta entender el porqué de las cosas","Herramientas que me permitan construir y crear, Información y datos, para clasificar y analizar","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento, Enseñar, aconsejar o cuidar de personas","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Trabajar en equipo, tener en cuenta las ideas de los otros, Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,El ser humano y su relación con la sociedad,"Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Lengua castellana","Ciencias sociales, Ciencias económicas y políticas, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, Las personas, el relacionamiento y comunicación con otros","Ciencias sociales, Educación física","Lengua castellana, Educación artística, Educación Física"
Azahara Giralt-España,"Hacer actividades artisticas, Escuchar y conversas con mis amigos","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Información y datos, para clasificar y analizar","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Sistematizar y procesar información o números,"El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar",Actuar por mi cuenta sin necesidad de que me supervisen,Mis resultados,"El diseño, música, baile, teatro y cocina, La naturaleza, el universo y su funcionamiento, La salud y el funcionamiento del cuerpo","Minero y energético, Servicios a la comunidad, recreación y bienestar, Cultural y artístico","Educación artística, Lengua castellana, Física","Ciencias sociales, Matemáticas, Biología y química","La creación y representación de objetos e imágenes, Las palabras, escritas o habladas, esa es tu forma de expresarte","Educación artística, Lengua castellana, Física","Matemáticas, Biología y química, Ciencias económicas y políticas"
Pascual Apolinar Muro Raya,"Hacer actividades artisticas, Practicar deporte o construir cosas","Imaginativo. Me expreso creativamente, Organizado. Prefiero tener claro lo que voy a hacer","Información y datos, para clasificar y analizar, Creaciones propias relacionadas con el arte","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Usar diferentes herramientas y tecnología,"El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Trabajar en equipo, tener en cuenta las ideas de los otros",Mi trabajo y mi equipo,"El diseño, música, baile, teatro y cocina, La salud y el funcionamiento del cuerpo, Los recursos naturales, el campo y los animales","Cultural y artístico, Educación, Logística y transporte","Educación artística, Lengua castellana, Biología y química","Matemáticas, Física, Ciencias sociales","La creación y representación de objetos e imágenes, La naturaleza, con la comprensión y sensibilidad del entorno natural","Educación artística, Lengua castellana, Biología y química","Matemáticas, Física, Educación Física"
Ruperto Lucho Baeza Cobos,"Escuchar y conversas con mis amigos, Leer o hacer experimentos",Hábil. Soy bueno para el trabajo manual,"Personas, enseñando o cuidando de ellas, Información y datos, para clasificar y analizar","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Usar diferentes herramientas y tecnología,"El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Trabajar en equipo, tener en cuenta las ideas de los otros, Comunicarme con los demás, escuchar sus ideas y transmitir las mias","Mi trabajo, el de mi equipo y el impacto que genere","El aprendizaje de niños, jóvenes y adultos, El ser humano y su relación con la sociedad, La naturaleza, el universo y su funcionamiento",Investigación en ciencias básicas y aplicadas,"Educación física, Biología y química, Lengua castellana","Matemáticas, Física, Educación artística","Las personas, el relacionamiento y comunicación con otros, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
